t,x,y,z,dx,dy,dz,dv_st
1.7437591653956730e+02,-9.9148800298210360e-01,3.3667004085266758e-03,5.1818213577848823e-04,1.3151649494354059e-03,6.5542568938274925e-03,-1.8394818026685547e-03,-8.0890022218227371e-13
1.7743514314552462e+02,-9.9148856413550290e-01,3.3566219147069731e-03,5.2221079191742481e-04,1.3099529088212319e-03,6.5681387488288889e-03,-1.8635221961253684e-03,5.8594159781932819e-13
1.8049436975148194e+02,-9.9148880498628345e-01,3.3474307946019699e-03,5.2714107073896543e-04,1.3058248059094305e-03,6.5786579971685022e-03,-1.8890813766731225e-03,5.8566220104694359e-13
1.8355359635743926e+02,-9.9148871442507103e-01,3.3392863082027488e-03,5.3291252576807380e-04,1.3028663698023898e-03,6.5855762117718042e-03,-1.9158273355853309e-03,3.6465935409069057e-13
1.8661282296339658e+02,-9.9148828524620769e-01,3.3323388582836271e-03,5.3945084297874640e-04,1.3011502590514947e-03,6.5886957318691541e-03,-1.9434007518782752e-03,1.7215497791767120e-13
1.8967204956935390e+02,-9.9148751451473371e-01,3.3267271735034510e-03,5.4666785488857066e-04,1.3007342041062081e-03,6.5878653977970991e-03,-1.9714178466798227e-03,3.3075921237468713e-13
1.9273127617531122e+02,-9.9148640392802667e-01,3.3225752567042433e-03,5.5446184974720220e-04,1.3016591203633987e-03,6.5829863507651520e-03,-1.9994741783008574e-03,1.2838281691074370e-13
1.9579050278126854e+02,-9.9148496015418996e-01,3.3199891729729300e-03,5.6271824002302113e-04,1.3039472582739306e-03,6.5740176580948440e-03,-2.0271494788291094e-03,4.2985193431377403e-13
1.9884972938722586e+02,-9.9148319512280270e-01,3.3190537814119219e-03,5.7131064663660581e-04,1.3076004828819956e-03,6.5609814727304316e-03,-2.0540135893588568e-03,2.9061920940876009e-13
2.0190895599318318e+02,-9.9148112624480589e-01,3.3198295446065138e-03,5.8010244102389458e-04,1.3125987746049539e-03,6.5439673932179421e-03,-2.0796334937193193e-03,2.3492146283388137e-12
2.0496818259914050e+02,-9.9147877652919658e-01,3.3223495729059129e-03,5.8894876695563729e-04,1.3188990777948302e-03,6.5231356640368388e-03,-2.1035813783458627e-03,3.8794241845607749e-13
2.0802740920509783e+02,-9.9147617457795745e-01,3.3266170824527226e-03,5.9769903641513223e-04,1.3264345805993455e-03,6.4987188527297901e-03,-2.1254435669346770e-03,3.9678998291492460e-13
2.1108663581105515e+02,-9.9147335442117579e-01,3.3326034479360107e-03,6.0619986347572481e-04,1.3351145811409020e-03,6.4710216668768528e-03,-2.1448300894810696e-03,-1.3378448784351351e-13
2.1414586241701247e+02,-9.9147035518278648e-01,3.3402470273142552e-03,6.1429836482903156e-04,1.3448249906355698e-03,6.4404186222373205e-03,-2.1613845637040272e-03,3.4072436392307284e-13
2.1720508902296979e+02,-9.9146722055554481e-01,3.3494529133120112e-03,6.2184572206184434e-04,1.3554295773716449e-03,6.4073493729110975e-03,-2.1747939922474660e-03,3.3737160265445714e-13
2.2026431562892711e+02,-9.9146399808618313e-01,3.3600937271968862e-03,6.2870087006324990e-04,1.3667719692062401e-03,6.3723116268102897e-03,-2.1847980268790462e-03,1.8740538507699960e-12
2.2332354223488443e+02,-9.9146073827372017e-01,3.3720115162359028e-03,6.3473415335307012e-04,1.3786784278182170e-03,6.3358517167124706e-03,-2.1911972256246858e-03,1.1904630810022353e-12
