t,x,y,z,dx,dy,dz,dv_vel,dv_st
7.945940e+01,-9.895675e-01,3.489456e-03,-7.884710e-04,2.921673e-03,-5.736984e-03,-1.433576e-03,1.000000e-07,-7.812500e-10
8.062792e+01,-9.904705e-01,-4.489532e-03,-2.921133e-04,-3.145451e-03,-1.071667e-03,1.972229e-03,0.000000e+00,0.000000e+00
8.179644e+01,-9.914785e-01,3.218178e-03,5.628560e-04,1.228602e-03,6.708845e-03,-1.658048e-03,-3.125000e-09,-2.734375e-09
8.296496e+01,-9.888429e-01,-4.287940e-05,-1.120973e-03,-3.939234e-05,-9.033060e-03,1.697786e-05,1.562500e-09,-3.906250e-10
8.413348e+01,-9.914899e-01,-3.153796e-03,5.784602e-04,-1.180726e-03,6.854241e-03,1.630696e-03,-8.593750e-09,-2.734375e-09
8.530200e+01,-9.904405e-01,4.478543e-03,-3.107781e-04,3.162810e-03,-1.243117e-03,-1.961867e-03,-5.468750e-09,-2.734375e-09
8.647052e+01,-9.895954e-01,-3.543292e-03,-7.747501e-04,-2.954350e-03,-5.604307e-03,1.458072e-03,3.906250e-09,-2.734375e-09
8.763904e+01,-9.916563e-01,8.869689e-04,8.759832e-04,1.928622e-04,9.708104e-03,-4.937200e-04,-3.906250e-10,-3.906250e-10
8.880756e+01,-9.891353e-01,2.330179e-03,-9.918606e-04,2.068632e-03,-7.733399e-03,-9.355200e-04,-2.187500e-08,3.125000e-09
8.997608e+01,-9.909656e-01,-4.405353e-03,5.370585e-05,-2.591890e-03,2.070926e-03,2.048444e-03,6.250000e-09,-2.343750e-09
9.114460e+01,-9.911925e-01,4.122322e-03,2.478390e-04,2.129309e-03,3.825303e-03,-1.987446e-03,-2.734375e-09,-2.343750e-09
9.231312e+01,-9.889680e-01,-1.550539e-03,-1.066484e-03,-1.404350e-03,-8.481282e-03,6.176318e-04,6.250000e-09,-3.125000e-09
9.348164e+01,-9.916256e-01,-1.787766e-03,8.049786e-04,-4.611798e-04,9.009661e-03,9.767579e-04,1.562500e-09,7.812500e-10
9.465016e+01,-9.898913e-01,4.012836e-03,-6.238379e-04,3.187849e-03,-4.161115e-03,-1.682675e-03,1.250000e-08,1.562500e-09
9.581869e+01,-9.901320e-01,-4.277833e-03,-4.927870e-04,-3.245496e-03,-2.928394e-03,1.825471e-03,5.468750e-09,-4.296875e-09
9.698721e+01,-9.915813e-01,2.430653e-03,7.197249e-04,7.387775e-04,8.186942e-03,-1.299711e-03,-5.468750e-09,-4.296875e-09
9.815573e+01,-9.888845e-01,9.027748e-04,-1.102935e-03,8.255003e-04,-8.849940e-03,-3.582896e-04,6.250000e-09,-1.562500e-09
9.932425e+01,-9.913367e-01,-3.787491e-03,3.924540e-04,-1.733943e-03,5.139740e-03,1.880153e-03,-5.625000e-08,-7.617187e-09
1.004928e+02,-9.907608e-01,4.508273e-03,-9.915481e-05,2.886031e-03,6.876043e-04,-2.041954e-03,-7.812500e-10,-3.906250e-10
1.016613e+02,-9.893063e-01,-2.879179e-03,-9.133601e-04,-2.500744e-03,-6.955842e-03,1.165886e-03,1.562500e-09,-7.812500e-10
1.028298e+02,-9.916645e-01,-1.526782e-04,8.976847e-04,-3.123741e-05,9.924429e-03,8.550110e-05,-7.812500e-09,-5.078125e-09
1.039983e+02,-9.893856e-01,3.087542e-03,-8.761077e-04,2.653233e-03,-6.590098e-03,-1.255546e-03,-2.500000e-08,1.562500e-09
1.051668e+02,-9.906705e-01,-4.520670e-03,-1.617503e-04,-2.985139e-03,1.190900e-04,2.026740e-03,7.812500e-10,-3.906250e-10
1.063354e+02,-9.913875e-01,3.621372e-03,4.493790e-04,1.569128e-03,5.660730e-03,-1.819503e-03,-4.687500e-09,-3.906250e-09
1.075039e+02,-9.888630e-01,-6.290571e-04,-1.112280e-03,-5.766052e-04,-8.944804e-03,2.494021e-04,7.812500e-09,-3.125000e-09
1.086724e+02,-9.915565e-01,-2.676397e-03,6.779188e-04,-8.711413e-04,7.789092e-03,1.416612e-03,-6.250000e-09,-2.539062e-09
1.098409e+02,-9.902317e-01,4.359770e-03,-4.358507e-04,3.237784e-03,-2.398286e-03,-1.875289e-03,0.000000e+00,0.000000e+00
1.110095e+02,-9.897940e-01,-3.877409e-03,-6.745702e-04,-3.132344e-03,-4.643220e-03,1.615353e-03,7.812500e-10,-3.906250e-10
1.121780e+02,-9.916383e-01,1.506393e-03,8.327632e-04,3.650856e-04,9.281442e-03,-8.289635e-04,-3.125000e-09,-2.343750e-09
1.133465e+02,-9.890146e-01,1.808267e-03,-1.045867e-03,1.628860e-03,-8.273915e-03,-7.218474e-04,9.375000e-09,-1.562500e-09
1.145150e+02,-9.911246e-01,-4.231420e-03,1.862400e-04,-2.285477e-03,3.268183e-03,2.016021e-03,2.187500e-08,-3.515625e-09
1.156835e+02,-9.910432e-01,4.332927e-03,1.165718e-04,2.451965e-03,2.638641e-03,-2.037741e-03,-2.734375e-09,-2.343750e-09
1.168521e+02,-9.890748e-01,-2.088086e-03,-1.019099e-03,-1.867469e-03,-8.005454e-03,8.358665e-04,7.812500e-09,-3.515625e-09
1.180206e+02,-9.916492e-01,-1.182967e-03,8.582842e-04,-2.693995e-04,9.532887e-03,6.554047e-04,-6.640625e-09,-3.906250e-09
1.191891e+02,-9.896878e-01,3.708888e-03,-7.286970e-04,3.048550e-03,-5.161122e-03,-1.534767e-03,1.250000e-08,3.906250e-10
1.203576e+02,-9.903425e-01,-4.431829e-03,-3.705580e-04,-3.207953e-03,-1.793612e-03,1.924255e-03,4.687500e-09,-3.906250e-09
1.215261e+02,-9.915239e-01,2.935926e-03,6.271685e-04,1.030057e-03,7.310124e-03,-1.535271e-03,-3.125000e-09,-2.734375e-09
1.226947e+02,-9.888480e-01,3.204317e-04,-1.118739e-03,2.942033e-04,-9.010549e-03,-1.269757e-04,-1.250000e-08,3.515625e-09
1.238632e+02,-9.914383e-01,-3.417109e-03,5.105585e-04,-1.387230e-03,6.224188e-03,1.739969e-03,-1.093750e-08,-2.929688e-09
1.250317e+02,-9.905662e-01,4.513903e-03,-2.309737e-04,3.078506e-03,-5.120966e-04,-2.001613e-03,-7.812500e-10,-3.906250e-10
1.262002e+02,-9.894794e-01,-3.306567e-03,-8.313002e-04,-2.804380e-03,-6.152659e-03,1.351550e-03,3.125000e-09,-1.953125e-09
1.273687e+02,-9.916622e-01,4.928330e-04,8.914673e-04,1.026584e-04,9.862426e-03,-2.754659e-04,-2.343750e-09,-1.562500e-09
1.285373e+02,-9.892236e-01,2.633563e-03,-9.516299e-04,2.312179e-03,-7.333942e-03,-1.061920e-03,1.250000e-08,-1.562500e-09
1.297058e+02,-9.908578e-01,-4.473701e-03,-2.882623e-05,-2.759344e-03,1.324823e-03,2.050425e-03,1.093750e-08,-6.250000e-09
1.308743e+02,-9.912739e-01,3.953882e-03,3.268511e-04,1.917847e-03,4.542087e-03,-1.936383e-03,-3.906250e-10,-3.906250e-10
1.320428e+02,-9.889176e-01,-1.204502e-03,-1.088536e-03,-1.097281e-03,-8.704222e-03,4.787023e-04,3.125000e-09,-1.171875e-09
1.332113e+02,-9.916043e-01,-2.142231e-03,7.619615e-04,-6.030436e-04,8.592695e-03,1.157625e-03,-3.125000e-09,-1.562500e-09
1.343799e+02,-9.900206e-01,4.167229e-03,-5.544490e-04,3.232481e-03,-3.506336e-03,-1.763413e-03,-9.375000e-09,-1.562500e-09
1.355484e+02,-9.900016e-01,-4.146304e-03,-5.648044e-04,-3.227934e-03,-3.603664e-03,1.752127e-03,7.421875e-09,-5.859375e-09
1.367169e+02,-9.916078e-01,2.091458e-03,7.687044e-04,5.811365e-04,8.657767e-03,-1.132095e-03,-2.343750e-09,-1.953125e-09
1.378854e+02,-9.889242e-01,1.255655e-03,-1.085654e-03,1.143020e-03,-8.675109e-03,-4.991932e-04,-3.125000e-09,7.812500e-10
1.390539e+02,-9.912626e-01,-3.980315e-03,3.154183e-04,-1.949130e-03,4.438284e-03,1.944836e-03,-6.250000e-09,-1.953125e-10
1.402225e+02,-9.908740e-01,4.465583e-03,-1.674580e-05,2.736080e-03,1.434037e-03,-2.050942e-03,7.812500e-10,7.812500e-10
1.413910e+02,-9.892100e-01,-2.590214e-03,-9.578284e-04,-2.278040e-03,-7.395351e-03,1.043714e-03,7.812500e-09,-3.906250e-09
1.425595e+02,-9.916615e-01,-5.508402e-04,8.897451e-04,-1.152975e-04,9.845308e-03,3.077652e-04,-9.375000e-09,-5.859375e-09
1.437280e+02,-9.894960e-01,3.342559e-03,-8.232863e-04,2.828171e-03,-6.074819e-03,-1.367544e-03,7.500000e-08,-2.343750e-09
1.448965e+02,-9.905480e-01,-4.510575e-03,-2.427486e-04,-3.092567e-03,-6.196437e-04,1.996465e-03,-7.812500e-10,3.906250e-10
1.460651e+02,-9.914463e-01,3.380194e-03,5.207601e-04,1.356501e-03,6.318487e-03,-1.725054e-03,0.000000e+00,0.000000e+00
1.472336e+02,-9.888464e-01,-2.673701e-04,-1.119416e-03,-2.455300e-04,-9.017525e-03,1.059274e-04,1.562500e-09,-3.906250e-10
1.484021e+02,-9.915177e-01,-2.978708e-03,6.180636e-04,-1.058323e-03,7.224749e-03,1.554324e-03,-1.015625e-08,-3.515625e-09
1.495706e+02,-9.903614e-01,4.442082e-03,-3.591967e-04,3.200648e-03,-1.688872e-03,-1.931900e-03,-6.250000e-09,-2.734375e-09
1.507392e+02,-9.896699e-01,-3.678254e-03,-7.376888e-04,-3.031916e-03,-5.247490e-03,1.520388e-03,-1.562500e-09,1.171875e-09
1.519077e+02,-9.916507e-01,1.126740e-03,8.620457e-04,2.541389e-04,9.570155e-03,-6.248553e-04,-4.296875e-09,-3.125000e-09
1.530762e+02,-9.890859e-01,2.135065e-03,-1.014107e-03,1.906922e-03,-7.955671e-03,-8.551262e-04,-9.375000e-09,1.562500e-09
1.542447e+02,-9.910286e-01,-4.348142e-03,1.045595e-04,-2.479464e-03,2.530231e-03,2.040394e-03,3.125000e-09,-7.812500e-10
1.554132e+02,-9.911379e-01,4.211866e-03,1.980985e-04,2.256052e-03,3.375346e-03,-2.011198e-03,-1.562500e-09,-1.562500e-09
1.565818e+02,-9.890052e-01,-1.759437e-03,-1.050047e-03,-1.586646e-03,-8.316045e-03,7.020273e-04,-7.812500e-09,3.515625e-09
1.577503e+02,-9.916361e-01,-1.560887e-03,8.277842e-04,-3.826789e-04,9.232735e-03,8.578407e-04,-3.125000e-09,-1.562500e-09
1.589188e+02,-9.898125e-01,3.904475e-03,-6.650064e-04,3.144401e-03,-4.552245e-03,-1.628580e-03,0.000000e+00,0.000000e+00
1.600873e+02,-9.902126e-01,-4.345350e-03,-4.468633e-04,-3.240661e-03,-2.500616e-03,1.866149e-03,1.953125e-09,-1.562500e-09
1.612558e+02,-9.915616e-01,2.630312e-03,6.861883e-04,8.450473e-04,7.867612e-03,-1.394975e-03,-1.562500e-09,-1.171875e-09
1.624244e+02,-9.888665e-01,6.816680e-04,-1.110731e-03,6.245840e-04,-8.929269e-03,-2.703112e-04,1.562500e-09,-7.812500e-10
1.635929e+02,-9.913782e-01,-3.654405e-03,4.386185e-04,-1.600592e-03,5.562141e-03,1.831849e-03,4.687500e-09,7.812500e-10
1.647614e+02,-9.906880e-01,4.519650e-03,-1.497998e-04,2.967270e-03,2.277022e-04,-2.030158e-03,-7.812500e-10,-7.812500e-10
1.659299e+02,-9.893701e-01,-3.048535e-03,-8.834377e-04,-2.625279e-03,-6.662037e-03,1.238618e-03,7.812500e-10,-3.906250e-10
1.670984e+02,-9.916646e-01,9.424073e-05,8.980755e-04,1.926287e-05,9.928494e-03,-5.277179e-05,-7.031250e-09,-4.687500e-09
1.682670e+02,-9.893211e-01,2.919926e-03,-9.064243e-04,2.531152e-03,-6.887783e-03,-1.183289e-03,-2.500000e-08,2.343750e-09
1.694355e+02,-9.907437e-01,-4.511998e-03,-1.111726e-04,-2.906081e-03,5.785942e-04,2.039549e-03,6.250000e-09,-4.296875e-09
1.706040e+02,-9.913468e-01,3.756934e-03,4.034879e-04,1.702346e-03,5.240564e-03,-1.869264e-03,-3.125000e-09,-2.734375e-09
1.717725e+02,-9.888798e-01,-8.506142e-04,-1.104962e-03,-7.782183e-04,-8.870710e-03,3.375020e-04,-3.125000e-09,1.562500e-09
1.729410e+02,-9.915768e-01,-2.478632e-03,7.119872e-04,-7.633349e-04,8.113197e-03,1.322834e-03,-1.718750e-08,-7.812500e-09
1.741096e+02,-9.901511e-01,4.294773e-03,-4.819952e-04,3.245424e-03,-2.827800e-03,-1.835398e-03,9.375000e-09,2.343750e-09
1.752781e+02,-9.898725e-01,-3.988061e-03,-6.336981e-04,-3.178655e-03,-4.254680e-03,1.670117e-03,7.812500e-10,-7.812500e-10
1.764466e+02,-9.916283e-01,1.734559e-03,8.106320e-04,4.419742e-04,9.064946e-03,-9.490469e-04,-3.906250e-10,-3.906250e-10
1.776151e+02,-9.889764e-01,1.600361e-03,-1.062763e-03,1.448061e-03,-8.444032e-03,-6.377154e-04,-1.250000e-08,2.343750e-09
